COUNTRY,CODE,GDP (BILLIONS)
Afghanistan,AFG,3.21
Albania,ALB,3.92
Algeria,DZA,6.10
Angola,AGO,2.42
Argentina,ARG,4.72
Armenia,ARM,2.71
Australia,AUS,5.12
Austria,AUT,5.22
Azerbaijan,AZE,2.46
Bahamas,BHS,2.78
Bahrain,BHR,2.15
Bangladesh,BGD,1.33
Barbados,BRB,6.45
Belarus,BLR,4.95
Belgium,BEL,6.38
Belize,BLZ,8.71
Benin,BEN,3.00
Bhutan,BTN,5.68
Bolivia,BOL,8.90
Bosnia and Herzegovina,BIH,-
Botswana,BWA,8.74
Brazil,BRA,6.09
Brunei,BRN,4.43
Bulgaria,BGR,4.08
Burkina Faso,BFA,5.52
Burundi,BDI,5.04
Cabo Verde,CPV,7.58
Cambodia,KHM,2.16
Cameroon,CMR,3.17
Canada,CAN,-
Central African Republic,CAF,2.17
Chad,TCD,2.91
Chile,CHL,5.43
China,CHN,3.57
Colombia,COL,4.93
Comoros,COM,2.55
Congo (Dem. Rep.),COD,2.70
Congo (Rep.),COG,4.45
Costa Rica,CRI,6.71
Cote d'Ivoire,CIV,3.44
Croatia,HRV,3.91
Cuba,CUB,
Cyprus,CYP,5.72
Czech Republic,CZE,4.27
Denmark,DNK,6.79
Djibouti,DJI,3.63
Dominican Republic,DOM,4.62
Ecuador,ECU,4.13
Egypt,EGY,2.48
El Salvador,SLV,3.39
Equatorial Guinea,GNQ,
Eritrea,ERI,
Estonia,EST,5.26
Eswatini,SWZ,5.00
Ethiopia,ETH,5.07
Fiji,FJI,5.07
Finland,FIN,6.28
France,FRA,5.41
Gabon,GAB,3.18
"Gambia, The",GMB,2.76
Georgia,GEO,3.85
Germany,DEU,4.98
Ghana,GHA,3.89
Greece,GRC,3.60
Guatemala,GTM,3.30
Guinea,GIN,2.20
Guinea-Bissau,GNB,2.71
Guyana,GUY,4.45
Haiti,HTI,1.63
Honduras,HND,6.44
Hungary,HUN,4.62
Iceland,ISL,7.56
India,IND,4.47
Indonesia,IDN,2.84
Iran,IRN,3.59
Iraq,IRQ,4.71
Ireland,IRL,3.39
Israel,ISR,6.11
Italy,ITA,4.26
Jamaica,JAM,6.03
Japan,JPN,3.08
Jordan,JOR,2.99
Kazakhstan,KAZ,2.86
Kenya,KEN,4.80
Korea (Dem. Peopleâ€™s Rep.),PRK,12.39
Korea (Rep.),KOR,
Kosovo,-,4.46
Kuwait,KWT,6.55
Kyrgyzstan,KGZ,5.55
Laos,LAO,2.23
Latvia,LVA,4.24
Lebanon,LBN,2.52
Lesotho,LSO,8.70
Liberia,LBR,2.69
Libya,LBY,
Lithuania,LTU,3.89
Luxembourg,LUX,3.65
Macedonia,MKD,6.30
Madagascar,MDG,3.10
Malawi,MWI,2.91
Malaysia,MYS,3.92
Maldives,MDV,4.12
Mali,MLI,3.76
Malta,MLT,4.65
Mauritania,MRT,1.88
Mauritius,MUS,4.61
Mexico,MEX,4.25
Moldova,MDA,6.39
Mongolia,MNG,4.94
Montenegro,MNE,
Morocco,MAR,6.75
Mozambique,MOZ,6.26
Myanmar,MMR,2.16
Namibia,NAM,9.64
Nepal,NPL,4.39
Netherlands,NLD,5.36
New Zealand,NZL,6.05
Nicaragua,NIC,4.63
Niger,NER,3.84
Nigeria,NGA,
Norway,NOR,7.64
Oman,OMN,5.41
Pakistan,PAK,2.51
Panama,PAN,3.91
Papua New Guinea,PNG,1.87
Paraguay,PRY,3.30
Peru,PER,4.25
Philippines,PHL,3.88
Poland,POL,4.62
Portugal,PRT,4.68
Qatar,QAT,3.23
Romania,ROU,3.34
Russia,RUS,4.68
Rwanda,RWA,3.82
Saudi Arabia,SAU,7.81
Senegal,SEN,5.50
Serbia,SRB,3.58
Sierra Leone,SLE,8.81
Singapore,SGP,2.51
Slovakia,SVK,3.97
Slovenia,SVN,4.94
Solomon Islands,SLB,12.75
Somalia,SOM,
South Africa,ZAF,6.19
South Sudan,SSD,1.54
Spain,ESP,4.18
Sri Lanka,LKA,1.93
Sudan,SDN,
Suriname,SUR,5.01
Sweden,SWE,7.64
Switzerland,CHE,4.86
Syria,SYR,
Taiwan,TWN,
Tajikistan,TJK,5.71
Tanzania,TZA,3.30
Thailand,THA,2.97
Timor-Leste,TLS,6.73
Togo,TGO,3.99
Trinidad and Tobago,TTO,4.10
Tunisia,TUN,7.32
Turkiye,TUR,4.29
Turkmenistan,TKM,3.12
Uganda,UGA,2.67
Ukraine,UKR,5.44
United Arab Emirates,ARE,3.88
United Kingdom,GBR,5.17
United States,USA,4.91
Uruguay,URY,4.70
Uzbekistan,UZB,4.92
Venezuela,VEN,1.34
Vietnam,VNM,4.06
Yemen,YEM,
Zambia,ZMB,3.70
Zimbabwe,ZWE,3.87